sample	public_name	accession_number	condition	stage	stageName	sampleName
zmp_ph125_pool11	ZMP_phenotype_125_1_pool11	ERS1021930	ZFS:0000026	Segmentation:14-19-somites	14-19-somites	14-19-somites_detct_pool_11
zmp_ph125_pool12	ZMP_phenotype_125_1_pool12	ERS1021931	ZFS:0000026	Segmentation:14-19-somites	14-19-somites	14-19-somites_detct_pool_12
zmp_ph125_pool2	ZMP_phenotype_125_1_pool2	ERS1021922	ZFS:0000026	Segmentation:14-19-somites	14-19-somites	14-19-somites_detct_pool_2
zmp_ph125_pool3	ZMP_phenotype_125_1_pool3	ERS1021923	ZFS:0000026	Segmentation:14-19-somites	14-19-somites	14-19-somites_detct_pool_3
zmp_ph125_pool4	ZMP_phenotype_125_1_pool4	ERS1021924	ZFS:0000026	Segmentation:14-19-somites	14-19-somites	14-19-somites_detct_pool_4
zmp_ph125_pool5	ZMP_phenotype_125_1_pool5	ERS1021925	ZFS:0000026	Segmentation:14-19-somites	14-19-somites	14-19-somites_detct_pool_5
zmp_ph125_pool7	ZMP_phenotype_125_1_pool7	ERS1021926	ZFS:0000026	Segmentation:14-19-somites	14-19-somites	14-19-somites_detct_pool_7
zmp_ph125_pool8	ZMP_phenotype_125_1_pool8	ERS1021927	ZFS:0000026	Segmentation:14-19-somites	14-19-somites	14-19-somites_detct_pool_8
zmp_ph125_pool9	ZMP_phenotype_125_1_pool9	ERS1021928	ZFS:0000026	Segmentation:14-19-somites	14-19-somites	14-19-somites_detct_pool_9
zmp_ph125_A1	ZMP_phenotype_125_1_1	ERS1021909	ZFS:0000026	Segmentation:14-19-somites	14-19-somites	14-19-somites_detct_single_A1
zmp_ph125_A10	ZMP_phenotype_125_1_10	ERS1021918	ZFS:0000026	Segmentation:14-19-somites	14-19-somites	14-19-somites_detct_single_A10
zmp_ph125_A11	ZMP_phenotype_125_1_11	ERS1021919	ZFS:0000026	Segmentation:14-19-somites	14-19-somites	14-19-somites_detct_single_A11
zmp_ph125_A12	ZMP_phenotype_125_1_12	ERS1021920	ZFS:0000026	Segmentation:14-19-somites	14-19-somites	14-19-somites_detct_single_A12
zmp_ph125_A2	ZMP_phenotype_125_1_2	ERS1021910	ZFS:0000026	Segmentation:14-19-somites	14-19-somites	14-19-somites_detct_single_A2
zmp_ph125_A3	ZMP_phenotype_125_1_3	ERS1021911	ZFS:0000026	Segmentation:14-19-somites	14-19-somites	14-19-somites_detct_single_A3
zmp_ph125_A4	ZMP_phenotype_125_1_4	ERS1021912	ZFS:0000026	Segmentation:14-19-somites	14-19-somites	14-19-somites_detct_single_A4
zmp_ph125_A5	ZMP_phenotype_125_1_5	ERS1021913	ZFS:0000026	Segmentation:14-19-somites	14-19-somites	14-19-somites_detct_single_A5
zmp_ph125_A6	ZMP_phenotype_125_1_6	ERS1021914	ZFS:0000026	Segmentation:14-19-somites	14-19-somites	14-19-somites_detct_single_A6
zmp_ph125_A7	ZMP_phenotype_125_1_7	ERS1021915	ZFS:0000026	Segmentation:14-19-somites	14-19-somites	14-19-somites_detct_single_A7
zmp_ph125_A8	ZMP_phenotype_125_1_8	ERS1021916	ZFS:0000026	Segmentation:14-19-somites	14-19-somites	14-19-somites_detct_single_A8
zmp_ph125_A9	ZMP_phenotype_125_1_9	ERS1021917	ZFS:0000026	Segmentation:14-19-somites	14-19-somites	14-19-somites_detct_single_A9
zmp_ph126_pool1	ZMP_phenotype_126_1_pool1	ERS1021754	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_pool_1
zmp_ph126_pool10	ZMP_phenotype_126_1_pool10	ERS1021763	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_pool_10
zmp_ph126_pool11	ZMP_phenotype_126_1_pool11	ERS1021764	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_pool_11
zmp_ph126_pool12	ZMP_phenotype_126_1_pool12	ERS1021765	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_pool_12
zmp_ph126_pool2	ZMP_phenotype_126_1_pool2	ERS1021755	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_pool_2
zmp_ph126_pool3	ZMP_phenotype_126_1_pool3	ERS1021756	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_pool_3
zmp_ph126_pool4	ZMP_phenotype_126_1_pool4	ERS1021757	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_pool_4
zmp_ph126_pool5	ZMP_phenotype_126_1_pool5	ERS1021758	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_pool_5
