sample	public_name	accession_number	condition	stage	stageName	sampleName
zmp_ph126_pool6	ZMP_phenotype_126_1_pool6	ERS1021759	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_pool_6
zmp_ph126_pool7	ZMP_phenotype_126_1_pool7	ERS1021760	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_pool_7
zmp_ph126_pool8	ZMP_phenotype_126_1_pool8	ERS1021761	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_pool_8
zmp_ph126_pool9	ZMP_phenotype_126_1_pool9	ERS1021762	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_pool_9
zmp_ph126_A1	ZMP_phenotype_126_1_1	ERS1021742	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_single_A1
zmp_ph126_A10	ZMP_phenotype_126_1_10	ERS1021751	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_single_A10
zmp_ph126_A11	ZMP_phenotype_126_1_11	ERS1021752	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_single_A11
zmp_ph126_A12	ZMP_phenotype_126_1_12	ERS1021753	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_single_A12
zmp_ph126_A2	ZMP_phenotype_126_1_2	ERS1021743	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_single_A2
zmp_ph126_A3	ZMP_phenotype_126_1_3	ERS1021744	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_single_A3
zmp_ph126_A4	ZMP_phenotype_126_1_4	ERS1021745	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_single_A4
zmp_ph126_A5	ZMP_phenotype_126_1_5	ERS1021746	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_single_A5
zmp_ph126_A6	ZMP_phenotype_126_1_6	ERS1021747	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_single_A6
zmp_ph126_A7	ZMP_phenotype_126_1_7	ERS1021748	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_single_A7
zmp_ph126_A8	ZMP_phenotype_126_1_8	ERS1021749	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_single_A8
zmp_ph126_A9	ZMP_phenotype_126_1_9	ERS1021750	ZFS:0000027	Segmentation:20-25-somites	20-25-somites	20-25-somites_detct_single_A9
zmp_ph116_pool1	ZMP_phenotype_116_24hpf_pool1	ERS542047	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_pool_1
zmp_ph116_pool10	ZMP_phenotype_116_24hpf_pool10	ERS542056	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_pool_10
zmp_ph116_pool11	ZMP_phenotype_116_24hpf_pool11	ERS542057	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_pool_11
zmp_ph116_pool2	ZMP_phenotype_116_24hpf_pool2	ERS542048	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_pool_2
zmp_ph116_pool3	ZMP_phenotype_116_24hpf_pool3	ERS542049	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_pool_3
zmp_ph116_pool4	ZMP_phenotype_116_24hpf_pool4	ERS542050	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_pool_4
zmp_ph116_pool5	ZMP_phenotype_116_24hpf_pool5	ERS542051	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_pool_5
zmp_ph116_pool6	ZMP_phenotype_116_24hpf_pool6	ERS542052	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_pool_6
zmp_ph116_pool7	ZMP_phenotype_116_24hpf_pool7	ERS542053	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_pool_7
zmp_ph116_pool8	ZMP_phenotype_116_24hpf_pool8	ERS542054	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_pool_8
zmp_ph116_pool9	ZMP_phenotype_116_24hpf_pool9	ERS542055	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_pool_9
zmp_ph116_E1	ZMP_phenotype_116_24hpf_E1	ERS542035	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_single_E1
zmp_ph116_E10	ZMP_phenotype_116_24hpf_E10	ERS542044	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_single_E10
zmp_ph116_E11	ZMP_phenotype_116_24hpf_E11	ERS542045	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_single_E11
zmp_ph116_E12	ZMP_phenotype_116_24hpf_E12	ERS542046	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_single_E12
zmp_ph116_E2	ZMP_phenotype_116_24hpf_E2	ERS542036	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_single_E2
zmp_ph116_E3	ZMP_phenotype_116_24hpf_E3	ERS542037	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_single_E3
zmp_ph116_E4	ZMP_phenotype_116_24hpf_E4	ERS542038	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_single_E4
zmp_ph116_E5	ZMP_phenotype_116_24hpf_E5	ERS542039	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_single_E5
zmp_ph116_E6	ZMP_phenotype_116_24hpf_E6	ERS542040	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_single_E6
zmp_ph116_E7	ZMP_phenotype_116_24hpf_E7	ERS542041	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_single_E7
zmp_ph116_E8	ZMP_phenotype_116_24hpf_E8	ERS542042	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_single_E8
zmp_ph116_E9	ZMP_phenotype_116_24hpf_E9	ERS542043	ZFS:0000029	Pharyngula:Prim-5	Prim-5	Prim-5_detct_single_E9
zmp_ph117_pool1	ZMP_phenotype_117_30hpf_pool1	ERS542070	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_pool_1
zmp_ph117_pool10	ZMP_phenotype_117_30hpf_pool10	ERS542079	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_pool_10
zmp_ph117_pool11	ZMP_phenotype_117_30hpf_pool11	ERS542080	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_pool_11
zmp_ph117_pool2	ZMP_phenotype_117_30hpf_pool2	ERS542071	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_pool_2
zmp_ph117_pool3	ZMP_phenotype_117_30hpf_pool3	ERS542072	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_pool_3
zmp_ph117_pool4	ZMP_phenotype_117_30hpf_pool4	ERS542073	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_pool_4
zmp_ph117_pool5	ZMP_phenotype_117_30hpf_pool5	ERS542074	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_pool_5
zmp_ph117_pool6	ZMP_phenotype_117_30hpf_pool6	ERS542075	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_pool_6
zmp_ph117_pool7	ZMP_phenotype_117_30hpf_pool7	ERS542076	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_pool_7
zmp_ph117_pool8	ZMP_phenotype_117_30hpf_pool8	ERS542077	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_pool_8
zmp_ph117_pool9	ZMP_phenotype_117_30hpf_pool9	ERS542078	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_pool_9
zmp_ph117_B1	ZMP_phenotype_117_30hpf_B1	ERS542058	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_single_B1
zmp_ph117_B10	ZMP_phenotype_117_30hpf_B10	ERS542067	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_single_B10
zmp_ph117_B11	ZMP_phenotype_117_30hpf_B11	ERS542068	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_single_B11
zmp_ph117_B12	ZMP_phenotype_117_30hpf_B12	ERS542069	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_single_B12
zmp_ph117_B2	ZMP_phenotype_117_30hpf_B2	ERS542059	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_single_B2
zmp_ph117_B3	ZMP_phenotype_117_30hpf_B3	ERS542060	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_single_B3
zmp_ph117_B4	ZMP_phenotype_117_30hpf_B4	ERS542061	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_single_B4
zmp_ph117_B5	ZMP_phenotype_117_30hpf_B5	ERS542062	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_single_B5
zmp_ph117_B6	ZMP_phenotype_117_30hpf_B6	ERS542063	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_single_B6
zmp_ph117_B7	ZMP_phenotype_117_30hpf_B7	ERS542064	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_single_B7
zmp_ph117_B8	ZMP_phenotype_117_30hpf_B8	ERS542065	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_single_B8
zmp_ph117_B9	ZMP_phenotype_117_30hpf_B9	ERS542066	ZFS:0000030	Pharyngula:Prim-15	Prim-15	Prim-15_detct_single_B9
zmp_ph118_pool1	ZMP_phenotype_118_1_pool1	ERS1021706	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_pool_1
zmp_ph118_pool10	ZMP_phenotype_118_1_pool10	ERS1021715	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_pool_10
zmp_ph118_pool11	ZMP_phenotype_118_1_pool11	ERS1021716	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_pool_11
zmp_ph118_pool12	ZMP_phenotype_118_1_pool12	ERS1021717	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_pool_12
zmp_ph118_pool2	ZMP_phenotype_118_1_pool2	ERS1021707	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_pool_2
zmp_ph118_pool3	ZMP_phenotype_118_1_pool3	ERS1021708	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_pool_3
zmp_ph118_pool4	ZMP_phenotype_118_1_pool4	ERS1021709	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_pool_4
zmp_ph118_pool5	ZMP_phenotype_118_1_pool5	ERS1021710	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_pool_5
zmp_ph118_pool6	ZMP_phenotype_118_1_pool6	ERS1021711	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_pool_6
zmp_ph118_pool7	ZMP_phenotype_118_1_pool7	ERS1021712	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_pool_7
zmp_ph118_pool8	ZMP_phenotype_118_1_pool8	ERS1021713	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_pool_8
zmp_ph118_pool9	ZMP_phenotype_118_1_pool9	ERS1021714	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_pool_9
zmp_ph118_A1	ZMP_phenotype_118_1_1	ERS1021694	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_single_A1
zmp_ph118_A10	ZMP_phenotype_118_1_10	ERS1021703	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_single_A10
zmp_ph118_A11	ZMP_phenotype_118_1_11	ERS1021704	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_single_A11
zmp_ph118_A12	ZMP_phenotype_118_1_12	ERS1021705	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_single_A12
zmp_ph118_A2	ZMP_phenotype_118_1_2	ERS1021695	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_single_A2
zmp_ph118_A3	ZMP_phenotype_118_1_3	ERS1021696	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_single_A3
zmp_ph118_A4	ZMP_phenotype_118_1_4	ERS1021697	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_single_A4
zmp_ph118_A5	ZMP_phenotype_118_1_5	ERS1021698	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_single_A5
zmp_ph118_A6	ZMP_phenotype_118_1_6	ERS1021699	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_single_A6
zmp_ph118_A7	ZMP_phenotype_118_1_7	ERS1021700	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_single_A7
zmp_ph118_A8	ZMP_phenotype_118_1_8	ERS1021701	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_single_A8
zmp_ph118_A9	ZMP_phenotype_118_1_9	ERS1021702	ZFS:0000031	Pharyngula:Prim-25	Prim-25	Prim-25_detct_single_A9
zmp_ph119_pool1	ZMP_phenotype_119_48hpf_pool1	ERS568909	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_pool_1
zmp_ph119_pool10	ZMP_phenotype_119_48hpf_pool10	ERS568918	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_pool_10
zmp_ph119_pool11	ZMP_phenotype_119_48hpf_pool11	ERS568919	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_pool_11
zmp_ph119_pool2	ZMP_phenotype_119_48hpf_pool2	ERS568910	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_pool_2
zmp_ph119_pool3	ZMP_phenotype_119_48hpf_pool3	ERS568911	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_pool_3
zmp_ph119_pool4	ZMP_phenotype_119_48hpf_pool4	ERS568912	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_pool_4
zmp_ph119_pool5	ZMP_phenotype_119_48hpf_pool5	ERS568913	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_pool_5
zmp_ph119_pool6	ZMP_phenotype_119_48hpf_pool6	ERS568914	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_pool_6
zmp_ph119_pool7	ZMP_phenotype_119_48hpf_pool7	ERS568915	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_pool_7
zmp_ph119_pool8	ZMP_phenotype_119_48hpf_pool8	ERS568916	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_pool_8
zmp_ph119_pool9	ZMP_phenotype_119_48hpf_pool9	ERS568917	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_pool_9
zmp_ph119_G1	ZMP_phenotype_119_48hpf_G1	ERS568897	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_single_G1
zmp_ph119_G10	ZMP_phenotype_119_48hpf_G10	ERS568906	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_single_G10
zmp_ph119_G11	ZMP_phenotype_119_48hpf_G11	ERS568907	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_single_G11
zmp_ph119_G12	ZMP_phenotype_119_48hpf_G12	ERS568908	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_single_G12
zmp_ph119_G2	ZMP_phenotype_119_48hpf_G2	ERS568898	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_single_G2
zmp_ph119_G3	ZMP_phenotype_119_48hpf_G3	ERS568899	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_single_G3
zmp_ph119_G4	ZMP_phenotype_119_48hpf_G4	ERS568900	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_single_G4
zmp_ph119_G5	ZMP_phenotype_119_48hpf_G5	ERS568901	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_single_G5
zmp_ph119_G6	ZMP_phenotype_119_48hpf_G6	ERS568902	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_single_G6
zmp_ph119_G7	ZMP_phenotype_119_48hpf_G7	ERS568903	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_single_G7
zmp_ph119_G8	ZMP_phenotype_119_48hpf_G8	ERS568904	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_single_G8
zmp_ph119_G9	ZMP_phenotype_119_48hpf_G9	ERS568905	ZFS:0000033	Hatching:Long-pec	Long-pec	Long-pec_detct_single_G9
zmp_ph120_pool1	ZMP_phenotype_120_72hpf_pool1	ERS568932	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_pool_1
